n,s_n,term
122,7.526339418,0.464309713343
78,6.016764254,0.464121180671
152,8.398889474,0.464087792072
120,7.462084081,0.464022490246
141,8.086437604,0.463762220689
114,7.270694639,0.463710531038
149,8.310044760,0.463468751121
117,7.353315021,0.462147365733
93,6.555094386,0.462035079689
74,5.847200104,0.462023635931
7,1.797379477,0.461510426171
153,8.402508033,0.461451903509
79,6.033974409,0.460871483160
71,5.718386954,0.460562667024
106,6.985696091,0.460376885567
123,7.521715404,0.459969126925
142,8.080116452,0.459776632984
115,7.270694639,0.459678265550
154,8.412861264,0.459585939262
125,7.573884756,0.458909842377
164,8.672519877,0.458613420840
103,6.870368364,0.458271470400
107,6.995493348,0.457354459589
5,1.511908891,0.457173698849
143,8.083317044,0.456923177875
124,7.526339418,0.456820846999
94,6.550275815,0.456448013379
165,8.674684974,0.456061572145
50,4.774532868,0.455923282238
75,5.847200104,0.455863320785
116,7.271679727,0.455839017731
144,8.098038565,0.455404365242
155,8.399421430,0.455163099073
80,6.031579299,0.454749360556
126,7.568450534,0.454614630815
72,5.718386954,0.454165963315
104,6.871461662,0.454009474742
136,7.856836510,0.453896176073
98,6.668148323,0.453716347557
174,8.879684414,0.453153995978
145,8.104669059,0.453004555505
166,8.667758422,0.452590578739
156,8.401119164,0.452428225701
95,6.555094387,0.452308025517
180,9.018371846,0.451839059707
127,7.573884756,0.451682915726
108,6.982955882,0.451496970782
176,8.912591075,0.451331134522
2,0.949950982,0.451203433831
137,7.858400296,0.450762446853
175,8.879684414,0.450564544573
109,7.006315172,0.450352773288
128,7.592195641,0.450323708261
157,8.407275102,0.450205570972
167,8.668165299,0.449922692488
146,8.104669059,0.449901784577
76,5.847200104,0.449865119195
100,6.705053279,0.449577394702
105,6.870159626,0.449515174181
181,9.018371846,0.449342711311
148,8.154212026,0.449264687571
81,6.032052996,0.449205720357
99,6.668148323,0.449133354147
140,7.927843671,0.448933609130
177,8.912591075,0.448781241107
158,8.412861264,0.447950852192
138,7.861712562,0.447873365237
168,8.672572981,0.447699536394
96,6.555094387,0.447596483585
182,9.018371846,0.446873795315
147,8.104669059,0.446841228219
192,9.261328343,0.446730222230
178,8.912591075,0.446259998180
129,7.586924175,0.446212546048
110,7.002741923,0.445803585760
101,6.705053279,0.445126133368
169,8.670699831,0.444858198550
139,7.861712562,0.444651254696
183,9.018371846,0.444431862007
159,8.406004842,0.444408285513
77,5.847200104,0.444022715050
179,8.912591075,0.443766925564
82,6.031813148,0.443692315341
193,9.252726970,0.443590447615
170,8.682998701,0.443496861373
97,6.555094387,0.442982086847
130,7.588168697,0.442925416685
194,9.261328343,0.442124756021
184,9.018371846,0.442016471452
160,8.400907488,0.441095291340
171,8.682998701,0.440903312476
102,6.705053279,0.440762151668
131,7.592195641,0.440010951583
195,9.261328343,0.439857449580
161,8.412861264,0.439603941903
185,9.015524382,0.439349620945
172,8.679193047,0.437955767139
196,9.255435201,0.437056534519
186,9.011042487,0.436553154307
132,7.587955981,0.436189969504
162,8.404914608,0.436065367704
173,8.682998701,0.435806164355
197,9.261328343,0.435391891716
187,9.018371846,0.434925298114
3,1.142138012,0.434826412472
163,8.412861264,0.434210028506
133,7.592195641,0.433394245544
198,9.261328343,0.433192942768
188,9.018371846,0.432611865677
189,9.018371846,0.430322914007
199,9.252778339,0.430220638163
134,7.592195641,0.430159960130
200,9.261328343,0.428861013341
190,9.018371846,0.428058056565
135,7.592195641,0.426973590055
191,9.027159226,0.426647139783
