n,s_n,term
161,8.399020581,0.438158675274
172,8.679193047,0.437955767087
196,9.255435201,0.437056534445
186,9.011042487,0.436553154285
132,7.587955981,0.436189969513
162,8.400305319,0.435587218837
173,8.677301327,0.435234441106
3,1.142138012,0.434826412472
197,9.254013952,0.434704437640
187,9.011797516,0.434291414246
163,8.409423434,0.433855230005
133,7.587217184,0.432826049649
188,9.018371846,0.432611865677
198,9.252984344,0.432412723543
199,9.252778340,0.430220638193
189,9.013184452,0.429828010372
134,7.587309044,0.429606406980
200,9.252922889,0.428082909905
190,9.018371846,0.428058056565
135,7.588406673,0.426547524748
191,9.018371846,0.425816914907
